"","frames_relative_to_switch","sister","Position","hurp","Position_dx"
"287",-5,"leading",8,0.595372305526358,0.728
"288",-5,"leading",9,0.600678918487546,0.832
"289",-5,"leading",10,0.606472663064132,0.936
"290",-5,"leading",11,0.610192226704192,1.04
"291",-5,"leading",12,0.613386201280204,1.144
"292",-5,"leading",13,0.61633950057177,1.248
"293",-5,"leading",14,0.617743005397646,1.352
"294",-5,"leading",15,0.618230869111712,1.456
"295",-5,"leading",16,0.619483906730046,1.56
"296",-5,"leading",17,0.618724691223674,1.664
"297",-5,"leading",18,0.61598062292853,1.768
"298",-5,"leading",19,0.612540259461836,1.872
"299",-5,"leading",20,0.612256261984296,1.976
"300",-5,"leading",21,0.608209205655823,2.08
"301",-5,"leading",22,0.603528308499487,2.184
"302",-5,"leading",23,0.599690665855557,2.288
"303",-5,"leading",24,0.59710930095368,2.392
"304",-5,"leading",25,0.593136545314224,2.496
"305",-5,"leading",26,0.587057547365473,2.6
"306",-5,"leading",27,0.58453198848561,2.704
"307",-5,"leading",28,0.579947686385746,2.808
"308",-5,"leading",29,0.576937449270975,2.912
"309",-5,"leading",30,0.573694889374989,3.016
"310",-5,"leading",31,0.572161155242992,3.12
"311",-4,"trailing",1,0.596302412198596,0
"312",-4,"trailing",2,0.63015798515678,0.104
"313",-4,"trailing",3,0.657922991854454,0.208
"314",-4,"trailing",4,0.672963682339023,0.312
"315",-4,"trailing",5,0.677549480551719,0.416
"316",-4,"trailing",6,0.674719907297197,0.52
"317",-4,"trailing",7,0.671194638626009,0.624
"318",-4,"trailing",8,0.665163451246347,0.728
"319",-4,"trailing",9,0.660073625654645,0.832
"320",-4,"trailing",10,0.653321719679194,0.936
"321",-4,"trailing",11,0.644966946502496,1.04
"322",-4,"trailing",12,0.638574882983495,1.144
"323",-4,"trailing",13,0.632505641427554,1.248
"324",-4,"trailing",14,0.628849628831608,1.352
"325",-4,"trailing",15,0.623539804156918,1.456
"326",-4,"trailing",16,0.619145540286475,1.56
"327",-4,"trailing",17,0.613260336113674,1.664
"328",-4,"trailing",18,0.61007623616424,1.768
"329",-4,"trailing",19,0.604451993108278,1.872
"330",-4,"trailing",20,0.599703020973793,1.976
"331",-4,"trailing",21,0.594719171421164,2.08
"332",-4,"trailing",22,0.589461230562373,2.184
"333",-4,"trailing",23,0.58596225717971,2.288
"334",-4,"trailing",24,0.583175268526031,2.392
"335",-4,"trailing",25,0.579642489144092,2.496
"336",-4,"trailing",26,0.575826580635579,2.6
"337",-4,"trailing",27,0.57146448722543,2.704
"338",-4,"trailing",28,0.567369601871551,2.808
"339",-4,"trailing",29,0.563263169718094,2.912
"340",-4,"trailing",30,0.560478886226759,3.016
"341",-4,"trailing",31,0.556639935531398,3.12
"342",-4,"leading",1,0.547383025144105,0
"343",-4,"leading",2,0.550949433599755,0.104
"344",-4,"leading",3,0.556813802989928,0.208
"345",-4,"leading",4,0.565062551171468,0.312
"346",-4,"leading",5,0.572062119840474,0.416
"347",-4,"leading",6,0.578139603883355,0.52
"348",-4,"leading",7,0.585076649768849,0.624
"349",-4,"leading",8,0.592074922801739,0.728
"350",-4,"leading",9,0.598241179194472,0.832
"351",-4,"leading",10,0.603191668254326,0.936
"352",-4,"leading",11,0.60611440519179,1.04
"353",-4,"leading",12,0.608293007201792,1.144
"354",-4,"leading",13,0.611407354686886,1.248
"355",-4,"leading",14,0.613984484529775,1.352
"356",-4,"leading",15,0.615635463616332,1.456
"357",-4,"leading",16,0.617053084271611,1.56
"358",-4,"leading",17,0.616541348509074,1.664
"359",-4,"leading",18,0.615815919229459,1.768
"360",-4,"leading",19,0.614597811672829,1.872
"361",-4,"leading",20,0.613794203636462,1.976
"362",-4,"leading",21,0.612221111909068,2.08
"363",-4,"leading",22,0.607757076200887,2.184
"364",-4,"leading",23,0.603726719578225,2.288
"365",-4,"leading",24,0.601457955620999,2.392
"366",-4,"leading",25,0.597232338505307,2.496
"367",-4,"leading",26,0.592608688398006,2.6
"368",-4,"leading",27,0.590737803181093,2.704
"369",-4,"leading",28,0.58720001345627,2.808
"370",-4,"leading",29,0.584012516299217,2.912
"371",-4,"leading",30,0.580190722195612,3.016
"372",-4,"leading",31,0.574588019120883,3.12
"373",-3,"trailing",1,0.605729438460372,0
"374",-3,"trailing",2,0.641550568592671,0.104
"375",-3,"trailing",3,0.671481604201322,0.208
"376",-3,"trailing",4,0.68904150320102,0.312
"377",-3,"trailing",5,0.691476054390052,0.416
"378",-3,"trailing",6,0.687011128659794,0.52
"379",-3,"trailing",7,0.67999750860774,0.624
"380",-3,"trailing",8,0.671888889274765,0.728
"381",-3,"trailing",9,0.662573963636924,0.832
"382",-3,"trailing",10,0.655933016945337,0.936
"383",-3,"trailing",11,0.646689656784693,1.04
"384",-3,"trailing",12,0.641260996787579,1.144
"385",-3,"trailing",13,0.633442387363345,1.248
"386",-3,"trailing",14,0.627146599324419,1.352
"387",-3,"trailing",15,0.622477679527425,1.456
"388",-3,"trailing",16,0.618081659985721,1.56
"389",-3,"trailing",17,0.610929570372746,1.664
"390",-3,"trailing",18,0.605804114804763,1.768
"391",-3,"trailing",19,0.601060552796156,1.872
"392",-3,"trailing",20,0.596444674952287,1.976
"393",-3,"trailing",21,0.591404005713813,2.08
"394",-3,"trailing",22,0.587624272337314,2.184
"395",-3,"trailing",23,0.582875626084859,2.288
"396",-3,"trailing",24,0.57884186819662,2.392
"397",-3,"trailing",25,0.576494724902552,2.496
"398",-3,"trailing",26,0.572573297714476,2.6
"399",-3,"trailing",27,0.567491149182066,2.704
"400",-3,"trailing",28,0.564404361870653,2.808
"401",-3,"trailing",29,0.561357273050768,2.912
"402",-3,"trailing",30,0.558134600169051,3.016
"403",-3,"trailing",31,0.554980665105146,3.12
"404",-3,"leading",1,0.550604235941845,0
"405",-3,"leading",2,0.554400258641009,0.104
"406",-3,"leading",3,0.559432364022988,0.208
"407",-3,"leading",4,0.565732660013277,0.312
"408",-3,"leading",5,0.571584355541133,0.416
"409",-3,"leading",6,0.57818144596337,0.52
"410",-3,"leading",7,0.584676546318188,0.624
"411",-3,"leading",8,0.59067667269891,0.728
"412",-3,"leading",9,0.596332262357971,0.832
"413",-3,"leading",10,0.600554912155615,0.936
"414",-3,"leading",11,0.604930665131306,1.04
"415",-3,"leading",12,0.609973289526979,1.144
"416",-3,"leading",13,0.611544421585434,1.248
"417",-3,"leading",14,0.612728732866689,1.352
"418",-3,"leading",15,0.616334918665715,1.456
"419",-3,"leading",16,0.61659667967768,1.56
"420",-3,"leading",17,0.61715577746069,1.664
"421",-3,"leading",18,0.617215628694111,1.768
"422",-3,"leading",19,0.615721948812347,1.872
"423",-3,"leading",20,0.615986441453356,1.976
"424",-3,"leading",21,0.615082401109512,2.08
"425",-3,"leading",22,0.613650603817205,2.184
"426",-3,"leading",23,0.611021916734881,2.288
"427",-3,"leading",24,0.60908614994071,2.392
"428",-3,"leading",25,0.605476100241224,2.496
"429",-3,"leading",26,0.60123615867254,2.6
"430",-3,"leading",27,0.597018439041285,2.704
"431",-3,"leading",28,0.594207769007459,2.808
"432",-3,"leading",29,0.590194776189755,2.912
"433",-3,"leading",30,0.585697519205128,3.016
"434",-3,"leading",31,0.581682570659473,3.12
"435",-2,"trailing",1,0.608326366022191,0
"436",-2,"trailing",2,0.644002092623764,0.104
"437",-2,"trailing",3,0.676877127701173,0.208
"438",-2,"trailing",4,0.693102109766643,0.312
"439",-2,"trailing",5,0.696140495857282,0.416
"440",-2,"trailing",6,0.689760168815729,0.52
"441",-2,"trailing",7,0.683069067108979,0.624
"442",-2,"trailing",8,0.675472279105327,0.728
"443",-2,"trailing",9,0.664338009888851,0.832
"444",-2,"trailing",10,0.655949187331063,0.936
"445",-2,"trailing",11,0.648141994360009,1.04
"446",-2,"trailing",12,0.641122503097435,1.144
"447",-2,"trailing",13,0.634685462740271,1.248
"448",-2,"trailing",14,0.628112416766133,1.352
"449",-2,"trailing",15,0.623214443091727,1.456
"450",-2,"trailing",16,0.615704933905902,1.56
"451",-2,"trailing",17,0.610102440960455,1.664
"452",-2,"trailing",18,0.605140746433515,1.768
"453",-2,"trailing",19,0.60033113626769,1.872
"454",-2,"trailing",20,0.5958091575535,1.976
"455",-2,"trailing",21,0.591111186102881,2.08
"456",-2,"trailing",22,0.586126567900423,2.184
"457",-2,"trailing",23,0.583576372498781,2.288
"458",-2,"trailing",24,0.57877582949506,2.392
"459",-2,"trailing",25,0.57424131775307,2.496
"460",-2,"trailing",26,0.569226032343322,2.6
"461",-2,"trailing",27,0.565263342405085,2.704
"462",-2,"trailing",28,0.562767840754216,2.808
"463",-2,"trailing",29,0.560145352039731,2.912
"464",-2,"trailing",30,0.557645852531367,3.016
"465",-2,"trailing",31,0.55412494011071,3.12
"466",-2,"leading",1,0.554878859558115,0
"467",-2,"leading",2,0.559182662947859,0.104
"468",-2,"leading",3,0.563262335347243,0.208
"469",-2,"leading",4,0.569166479258551,0.312
"470",-2,"leading",5,0.575674247553908,0.416
"471",-2,"leading",6,0.581731564312291,0.52
"472",-2,"leading",7,0.589316397766012,0.624
"473",-2,"leading",8,0.595984872766962,0.728
"474",-2,"leading",9,0.601619243476193,0.832
"475",-2,"leading",10,0.606339713338157,0.936
"476",-2,"leading",11,0.609897979489711,1.04
"477",-2,"leading",12,0.614322769702768,1.144
"478",-2,"leading",13,0.616438063786861,1.248
"479",-2,"leading",14,0.616930464535731,1.352
"480",-2,"leading",15,0.61807167082656,1.456
"481",-2,"leading",16,0.617990247433111,1.56
"482",-2,"leading",17,0.619935078449979,1.664
"483",-2,"leading",18,0.6194147388149,1.768
"484",-2,"leading",19,0.617744800186991,1.872
"485",-2,"leading",20,0.617141910538819,1.976
"486",-2,"leading",21,0.615430027652084,2.08
"487",-2,"leading",22,0.613458859917211,2.184
"488",-2,"leading",23,0.610714150712941,2.288
"489",-2,"leading",24,0.610664022619973,2.392
"490",-2,"leading",25,0.608760432968883,2.496
"491",-2,"leading",26,0.60446698910965,2.6
"492",-2,"leading",27,0.599962142078994,2.704
"493",-2,"leading",28,0.596964948558314,2.808
"494",-2,"leading",29,0.59448677392303,2.912
"495",-2,"leading",30,0.589765232460053,3.016
"496",-2,"leading",31,0.586985143746383,3.12
"497",-1,"trailing",1,0.600505900275492,0
"498",-1,"trailing",2,0.633371819350538,0.104
"499",-1,"trailing",3,0.664855147614785,0.208
"500",-1,"trailing",4,0.683984311610613,0.312
"501",-1,"trailing",5,0.690778841917766,0.416
"502",-1,"trailing",6,0.686901326713187,0.52
"503",-1,"trailing",7,0.680149811568591,0.624
"504",-1,"trailing",8,0.673152347752965,0.728
"505",-1,"trailing",9,0.661843584582451,0.832
"506",-1,"trailing",10,0.653907416179847,0.936
"507",-1,"trailing",11,0.645148526848867,1.04
"508",-1,"trailing",12,0.638430315764431,1.144
"509",-1,"trailing",13,0.632564127397143,1.248
"510",-1,"trailing",14,0.626035962642681,1.352
"511",-1,"trailing",15,0.620082417898847,1.456
"512",-1,"trailing",16,0.614915593455561,1.56
"513",-1,"trailing",17,0.611181385450369,1.664
"514",-1,"trailing",18,0.605997386393956,1.768
"515",-1,"trailing",19,0.60042994912457,1.872
"516",-1,"trailing",20,0.596357582783188,1.976
"517",-1,"trailing",21,0.590946740618885,2.08
"518",-1,"trailing",22,0.585843503095111,2.184
"519",-1,"trailing",23,0.582494911753179,2.288
"520",-1,"trailing",24,0.578209475025579,2.392
"521",-1,"trailing",25,0.57359414994348,2.496
"522",-1,"trailing",26,0.568445841844698,2.6
"523",-1,"trailing",27,0.565692911378112,2.704
"524",-1,"trailing",28,0.563982596039815,2.808
"525",-1,"trailing",29,0.560651791797016,2.912
"526",-1,"trailing",30,0.557209639689023,3.016
"527",-1,"trailing",31,0.554593115763723,3.12
"528",-1,"leading",1,0.555496565141044,0
"529",-1,"leading",2,0.559367734776968,0.104
"530",-1,"leading",3,0.564160791053439,0.208
"531",-1,"leading",4,0.569464036420323,0.312
"532",-1,"leading",5,0.575733092674285,0.416
"533",-1,"leading",6,0.581502805721335,0.52
"534",-1,"leading",7,0.59023141668705,0.624
"535",-1,"leading",8,0.595727374813373,0.728
"536",-1,"leading",9,0.60031234499452,0.832
"537",-1,"leading",10,0.604032934336767,0.936
"538",-1,"leading",11,0.607305328198436,1.04
"539",-1,"leading",12,0.611510495542659,1.144
"540",-1,"leading",13,0.613898210754444,1.248
"541",-1,"leading",14,0.615780103121016,1.352
"542",-1,"leading",15,0.616030238162261,1.456
"543",-1,"leading",16,0.616037329082753,1.56
"544",-1,"leading",17,0.616973174803739,1.664
